claim_id;ticket_id;claim_timestamp;claim_channel;claim_reason;claim_sequence
46;213;2025-01-05 00:15:53;Email;Issue not solved;1
47;213;2025-01-03 10:03:53;Portal;Urgency increased by user;2
48;213;2025-01-04 07:34:53;Email;Issue not solved;3
49;236;2025-01-02 22:04:45;Email;Issue not solved;1
50;240;2025-01-02 16:56:18;Portal;Service still unavailable;1
51;244;2025-01-05 04:31:32;Email;Ticket taking too long;1
52;246;2025-01-02 22:13:01;Email;No update provided;1
53;246;2025-01-04 14:29:01;Email;Service still unavailable;2
54;251;2025-01-03 10:03:28;Portal;Urgency increased by user;1
55;251;2025-01-03 10:28:28;Portal;Urgency increased by user;2
56;251;2025-01-03 06:49:28;Phone;No update provided;3
57;251;2025-01-03 07:36:28;Phone;No update provided;4
58;254;2025-01-03 07:43:50;Email;Urgency increased by user;1
59;265;2025-01-03 11:43:45;Portal;Issue not solved;1
60;267;2025-01-02 14:50:08;Phone;Issue not solved;1
61;267;2025-01-02 16:14:08;Phone;Urgency increased by user;2
62;271;2025-01-02 10:54:46;Email;Issue not solved;1
63;285;2025-01-02 23:45:19;Portal;Service still unavailable;1
64;293;2025-01-02 11:45:21;Phone;Issue not solved;1
65;296;2025-01-02 19:26:46;Email;Service still unavailable;1
66;296;2025-01-02 14:16:46;Email;Issue not solved;2
67;296;2025-01-02 18:39:46;Phone;Urgency increased by user;3
68;296;2025-01-02 17:46:46;Portal;No update provided;4
69;302;2025-01-02 15:56:25;Portal;No update provided;1
70;323;2025-01-03 20:32:30;Email;Urgency increased by user;1
71;323;2025-01-03 14:00:30;Phone;Ticket taking too long;2
72;324;2025-01-02 18:34:06;Phone;Ticket taking too long;1
73;335;2025-01-03 05:29:43;Phone;Ticket taking too long;1
74;362;2025-01-02 20:51:18;Email;Issue not solved;1
75;362;2025-01-04 18:50:18;Phone;Ticket taking too long;2
76;364;2025-01-03 11:03:48;Phone;Urgency increased by user;1
77;364;2025-01-03 05:39:48;Email;Issue not solved;2
78;374;2025-01-02 15:11:02;Email;No update provided;1
79;374;2025-01-02 13:00:02;Email;Service still unavailable;2
80;380;2025-01-07 19:27:04;Phone;Issue not solved;1
81;380;2025-01-10 01:50:04;Portal;Issue not solved;2
82;396;2025-01-05 16:18:17;Email;Urgency increased by user;1
83;396;2025-01-04 15:19:17;Phone;Urgency increased by user;2
84;397;2025-01-04 06:47:46;Email;Urgency increased by user;1
85;403;2025-01-03 21:09:41;Portal;Service still unavailable;1
86;403;2025-01-05 11:53:41;Portal;Service still unavailable;2
87;411;2025-01-04 21:18:29;Email;No update provided;1
88;412;2025-01-05 13:36:37;Portal;No update provided;1
89;419;2025-01-04 05:13:03;Email;Service still unavailable;1
90;419;2025-01-05 08:15:03;Email;Ticket taking too long;2
91;419;2025-01-04 18:05:03;Phone;Service still unavailable;3
92;423;2025-01-06 11:16:05;Phone;Urgency increased by user;1
93;423;2025-01-05 14:21:05;Portal;No update provided;2
94;423;2025-01-04 17:01:05;Phone;Issue not solved;3
95;427;2025-01-03 12:48:11;Portal;No update provided;1
96;427;2025-01-04 15:01:11;Portal;No update provided;2
97;431;2025-01-03 18:10:59;Phone;Issue not solved;1
98;445;2025-01-03 22:14:56;Email;Service still unavailable;1
99;454;2025-01-04 20:20:00;Portal;Urgency increased by user;1
100;477;2025-01-04 15:05:13;Email;No update provided;1
101;478;2025-01-07 07:25:59;Portal;Issue not solved;1
102;478;2025-01-05 23:16:59;Phone;Ticket taking too long;2
103;486;2025-01-04 02:04:51;Phone;No update provided;1
104;488;2025-01-04 17:39:54;Phone;Ticket taking too long;1
105;488;2025-01-04 07:20:54;Portal;No update provided;2
106;496;2025-01-05 05:29:58;Phone;No update provided;1
107;496;2025-01-06 05:06:58;Portal;Service still unavailable;2
108;505;2025-01-03 11:10:56;Portal;No update provided;1
109;517;2025-01-04 01:15:14;Portal;Issue not solved;1
110;523;2025-01-03 17:36:00;Email;Urgency increased by user;1
111;530;2025-01-03 16:36:18;Phone;Ticket taking too long;1
112;530;2025-01-03 22:46:18;Email;Issue not solved;2
113;530;2025-01-03 18:59:18;Portal;Urgency increased by user;3
114;541;2025-01-03 19:08:07;Email;Urgency increased by user;1
115;573;2025-01-03 14:22:29;Portal;Ticket taking too long;1
116;579;2025-01-06 23:04:59;Phone;Service still unavailable;1
117;583;2025-01-03 22:07:03;Portal;Issue not solved;1
118;584;2025-01-05 07:44:25;Phone;Issue not solved;1
119;588;2025-01-04 13:45:03;Email;Service still unavailable;1
120;602;2025-01-04 03:10:12;Phone;No update provided;1
121;602;2025-01-03 21:23:12;Email;Urgency increased by user;2
122;602;2025-01-04 07:19:12;Phone;No update provided;3
123;607;2025-01-04 03:02:21;Phone;No update provided;1
124;609;2025-01-07 01:49:22;Email;No update provided;1
125;611;2025-01-05 06:40:32;Portal;Issue not solved;1
126;652;2025-01-04 17:44:20;Phone;Urgency increased by user;1
127;657;2025-01-04 13:33:12;Portal;Issue not solved;1
128;670;2025-01-04 20:34:35;Phone;No update provided;1
129;670;2025-01-06 11:10:35;Email;Urgency increased by user;2
130;677;2025-01-07 04:03:21;Phone;Service still unavailable;1
131;678;2025-01-04 14:01:16;Email;Urgency increased by user;1
132;679;2025-01-05 17:27:42;Phone;Ticket taking too long;1
133;680;2025-01-05 16:11:57;Portal;Service still unavailable;1
134;686;2025-01-04 20:29:49;Email;Service still unavailable;1
135;686;2025-01-04 23:54:49;Phone;Service still unavailable;2
136;701;2025-01-04 23:20:50;Email;No update provided;1
137;701;2025-01-04 16:23:50;Email;Ticket taking too long;2
138;710;2025-01-07 03:12:49;Email;Urgency increased by user;1
139;710;2025-01-07 07:59:49;Portal;Service still unavailable;2
140;718;2025-01-04 16:29:47;Email;Urgency increased by user;1
141;720;2025-01-05 15:26:09;Phone;Urgency increased by user;1
142;723;2025-01-04 21:40:03;Portal;Urgency increased by user;1
143;733;2025-01-04 20:46:31;Portal;Urgency increased by user;1
144;740;2025-01-07 09:15:56;Phone;Ticket taking too long;1
145;743;2025-01-05 21:21:50;Email;Service still unavailable;1
146;743;2025-01-04 18:06:50;Portal;Ticket taking too long;2
147;755;2025-01-05 03:41:40;Portal;Issue not solved;1
148;756;2025-01-05 19:35:09;Phone;Issue not solved;1
149;756;2025-01-05 07:11:09;Email;Ticket taking too long;2
150;758;2025-01-06 19:57:31;Email;No update provided;1
151;758;2025-01-07 06:00:31;Portal;Issue not solved;2
152;763;2025-01-06 11:38:06;Email;Ticket taking too long;1
153;763;2025-01-05 22:34:06;Email;Issue not solved;2
154;777;2025-01-05 23:26:12;Email;No update provided;1
155;791;2025-01-06 13:45:41;Email;Service still unavailable;1
156;803;2025-01-06 23:45:23;Portal;Issue not solved;1
157;803;2025-01-07 11:50:23;Phone;No update provided;2
158;803;2025-01-06 08:22:23;Phone;Service still unavailable;3
159;805;2025-01-06 01:44:50;Email;Service still unavailable;1
160;805;2025-01-05 17:36:50;Email;Issue not solved;2
161;805;2025-01-06 07:05:50;Email;No update provided;3
162;807;2025-01-06 22:02:08;Portal;Ticket taking too long;1
163;807;2025-01-08 09:30:08;Email;Urgency increased by user;2
164;821;2025-01-05 15:27:36;Phone;Service still unavailable;1
165;829;2025-01-06 16:49:49;Portal;Ticket taking too long;1
166;840;2025-01-05 17:11:58;Portal;Service still unavailable;1
167;840;2025-01-06 00:49:58;Phone;No update provided;2
168;852;2025-01-06 12:41:18;Email;No update provided;1
169;852;2025-01-07 23:52:18;Phone;Issue not solved;2
170;861;2025-01-06 11:16:12;Portal;Service still unavailable;1
171;868;2025-01-05 14:23:02;Portal;Service still unavailable;1
172;869;2025-01-06 21:41:42;Phone;Urgency increased by user;1
173;869;2025-01-06 07:57:42;Portal;Ticket taking too long;2
174;874;2025-01-05 22:13:41;Phone;Issue not solved;1
175;877;2025-01-06 15:39:25;Phone;Issue not solved;1
176;887;2025-01-05 14:54:51;Email;Issue not solved;1
177;890;2025-01-07 00:02:36;Phone;Urgency increased by user;1
178;904;2025-01-05 20:50:35;Portal;Service still unavailable;1
179;910;2025-01-06 02:45:47;Portal;Service still unavailable;1
180;914;2025-01-06 07:23:43;Phone;Urgency increased by user;1
181;916;2025-01-06 17:30:18;Portal;Urgency increased by user;1
182;917;2025-01-06 20:57:57;Phone;No update provided;1
183;929;2025-01-09 10:24:04;Portal;Ticket taking too long;1
184;937;2025-01-06 18:38:52;Portal;Service still unavailable;1
185;937;2025-01-06 20:36:52;Phone;Urgency increased by user;2
186;942;2025-01-06 20:46:53;Email;Service still unavailable;1
187;951;2025-01-07 07:03:46;Email;Ticket taking too long;1
188;958;2025-01-07 03:22:46;Email;Service still unavailable;1
189;986;2025-01-08 00:19:10;Portal;Ticket taking too long;1
190;986;2025-01-07 22:19:10;Phone;Service still unavailable;2
191;986;2025-01-07 04:39:10;Portal;Urgency increased by user;3
192;993;2025-01-07 15:00:30;Phone;No update provided;1
193;993;2025-01-07 17:23:30;Portal;Issue not solved;2
194;996;2025-01-07 04:39:51;Portal;Ticket taking too long;1
195;1000;2025-01-06 22:00:49;Email;Urgency increased by user;1
196;1003;2025-01-06 22:19:10;Email;Urgency increased by user;1
197;1003;2025-01-06 19:10:10;Portal;Urgency increased by user;2
198;1019;2025-01-09 20:31:26;Email;Issue not solved;1
199;1028;2025-01-06 21:09:20;Email;No update provided;1
200;1030;2025-01-07 01:44:29;Email;Urgency increased by user;1
201;1049;2025-01-06 22:27:16;Portal;Urgency increased by user;1
202;1049;2025-01-06 23:12:16;Phone;Service still unavailable;2
203;1056;2025-01-07 15:22:16;Email;Ticket taking too long;1
204;1056;2025-01-06 21:16:16;Phone;Urgency increased by user;2
205;1056;2025-01-07 04:57:16;Portal;Service still unavailable;3
206;1078;2025-01-07 23:23:01;Email;Service still unavailable;1
207;1090;2025-01-08 07:26:36;Email;Urgency increased by user;1
208;1093;2025-01-06 14:57:01;Portal;Issue not solved;1
209;1101;2025-01-07 01:04:16;Email;Ticket taking too long;1
210;1103;2025-01-08 20:47:48;Phone;No update provided;1
211;1103;2025-01-07 09:08:48;Portal;Issue not solved;2
212;1113;2025-01-07 18:08:51;Email;Ticket taking too long;1
213;1125;2025-01-06 19:25:28;Portal;Urgency increased by user;1
214;1127;2025-01-06 17:58:03;Portal;Ticket taking too long;1
215;1148;2025-01-09 07:13:11;Phone;Urgency increased by user;1
216;1148;2025-01-07 17:48:11;Portal;Issue not solved;2
217;1154;2025-01-07 23:45:38;Email;Service still unavailable;1
218;1154;2025-01-07 16:51:38;Email;Ticket taking too long;2
219;1190;2025-01-07 23:02:00;Portal;Issue not solved;1
220;1195;2025-01-07 19:09:47;Portal;No update provided;1
221;1196;2025-01-09 08:16:13;Phone;Urgency increased by user;1
222;1198;2025-01-07 22:35:17;Email;Issue not solved;1
223;1237;2025-01-10 01:52:54;Portal;Urgency increased by user;1
224;1237;2025-01-07 20:04:54;Portal;Service still unavailable;2
225;1249;2025-01-08 05:15:11;Portal;Ticket taking too long;1
226;1253;2025-01-08 23:02:48;Email;Service still unavailable;1
227;1260;2025-01-08 01:49:59;Phone;Urgency increased by user;1
228;1273;2025-01-09 02:26:46;Portal;Issue not solved;1
229;1307;2025-01-08 04:17:20;Email;Ticket taking too long;1
230;1307;2025-01-07 18:10:20;Email;No update provided;2
231;1307;2025-01-07 23:22:20;Email;Ticket taking too long;3
232;1308;2025-01-07 16:23:02;Email;No update provided;1
233;1310;2025-01-09 20:00:21;Portal;Ticket taking too long;1
234;1312;2025-01-08 18:51:01;Email;Urgency increased by user;1
235;1316;2025-01-08 06:10:31;Portal;Service still unavailable;1
236;1328;2025-01-07 14:26:06;Phone;Issue not solved;1
237;1328;2025-01-07 12:06:06;Portal;No update provided;2
238;1356;2025-01-12 23:55:24;Portal;Service still unavailable;1
239;1361;2025-01-11 20:47:04;Phone;Ticket taking too long;1
240;1361;2025-01-11 15:26:04;Portal;Ticket taking too long;2
241;1361;2025-01-09 22:27:04;Email;Ticket taking too long;3
242;1366;2025-01-10 05:01:41;Portal;Issue not solved;1
243;1368;2025-01-09 09:26:42;Portal;Service still unavailable;1
244;1368;2025-01-10 05:14:42;Email;No update provided;2
245;1372;2025-01-08 11:29:53;Portal;Urgency increased by user;1
246;1393;2025-01-08 16:23:33;Portal;Ticket taking too long;1
247;1396;2025-01-08 12:23:55;Email;Issue not solved;1
248;1396;2025-01-08 21:44:55;Email;Issue not solved;2
249;1396;2025-01-08 11:06:55;Phone;Service still unavailable;3
250;1397;2025-01-09 12:30:00;Portal;No update provided;1
251;1397;2025-01-08 10:34:00;Portal;Service still unavailable;2
252;1399;2025-01-09 05:01:56;Portal;No update provided;1
253;1406;2025-01-08 20:30:18;Portal;No update provided;1
254;1416;2025-01-09 15:21:20;Email;Issue not solved;1
255;1430;2025-01-09 20:36:49;Phone;Ticket taking too long;1
256;1431;2025-01-08 13:45:19;Email;Service still unavailable;1
257;1433;2025-01-08 14:13:35;Email;Ticket taking too long;1
258;1437;2025-01-09 22:34:11;Portal;Service still unavailable;1
259;1453;2025-01-09 11:11:10;Portal;Service still unavailable;1
260;1457;2025-01-10 03:18:17;Phone;Issue not solved;1
261;1467;2025-01-09 10:23:44;Portal;Service still unavailable;1
262;1479;2025-01-09 03:02:48;Email;Ticket taking too long;1
263;1483;2025-01-08 17:57:18;Phone;Urgency increased by user;1
264;1484;2025-01-08 20:14:37;Phone;Service still unavailable;1
265;1490;2025-01-08 15:22:29;Portal;Ticket taking too long;1
266;1490;2025-01-08 14:45:29;Portal;Service still unavailable;2
267;1514;2025-01-08 21:38:46;Email;Issue not solved;1
268;1518;2025-01-08 10:56:21;Email;Issue not solved;1
269;1527;2025-01-08 19:21:03;Email;No update provided;1
270;1528;2025-01-11 07:31:19;Email;Service still unavailable;1
271;1538;2025-01-09 07:35:07;Email;Urgency increased by user;1
272;1540;2025-01-10 03:28:09;Phone;Service still unavailable;1
273;1540;2025-01-10 03:38:09;Portal;Issue not solved;2
274;1540;2025-01-08 15:18:09;Phone;No update provided;3
275;1555;2025-01-09 15:59:00;Phone;Urgency increased by user;1
276;1556;2025-01-08 10:59:27;Email;Issue not solved;1
277;1556;2025-01-08 17:56:27;Email;No update provided;2
278;1563;2025-01-08 20:42:39;Phone;No update provided;1
279;1563;2025-01-09 04:00:39;Phone;Issue not solved;2
280;1563;2025-01-09 12:11:39;Email;Ticket taking too long;3
281;1564;2025-01-09 01:56:55;Phone;Urgency increased by user;1
282;1564;2025-01-08 17:23:55;Phone;No update provided;2
283;1574;2025-01-11 02:20:46;Email;Service still unavailable;1
284;1576;2025-01-10 06:09:27;Phone;No update provided;1
285;1576;2025-01-09 12:40:27;Portal;Ticket taking too long;2
286;1580;2025-01-09 21:54:42;Phone;Service still unavailable;1
287;1580;2025-01-09 17:24:42;Email;Service still unavailable;2
288;1595;2025-01-11 01:56:22;Email;No update provided;1
289;1601;2025-01-11 23:58:36;Phone;Issue not solved;1
290;1602;2025-01-12 12:37:02;Phone;No update provided;1
291;1615;2025-01-10 04:13:10;Portal;Urgency increased by user;1
292;1615;2025-01-10 07:51:10;Email;Issue not solved;2
293;1634;2025-01-11 04:07:26;Phone;Urgency increased by user;1
294;1653;2025-01-11 04:36:38;Phone;Urgency increased by user;1
295;1653;2025-01-10 09:30:38;Email;No update provided;2
296;1656;2025-01-10 01:36:09;Phone;Urgency increased by user;1
297;1656;2025-01-09 13:58:09;Phone;Service still unavailable;2
298;1666;2025-01-10 14:00:34;Phone;No update provided;1
299;1668;2025-01-09 22:38:29;Portal;Urgency increased by user;1
300;1679;2025-01-10 01:57:13;Portal;No update provided;1
301;1690;2025-01-11 15:10:57;Phone;Service still unavailable;1
302;1692;2025-01-09 11:55:24;Portal;Issue not solved;1
303;1699;2025-01-09 21:09:05;Email;Urgency increased by user;1
304;1711;2025-01-11 13:08:10;Phone;Service still unavailable;1
305;1715;2025-01-12 10:27:21;Portal;No update provided;1
306;1715;2025-01-12 16:55:21;Portal;Issue not solved;2
307;1720;2025-01-09 19:46:05;Email;Ticket taking too long;1
308;1727;2025-01-12 04:44:08;Portal;Urgency increased by user;1
309;1727;2025-01-11 16:44:08;Phone;No update provided;2
310;1766;2025-01-09 14:14:55;Portal;Issue not solved;1
311;1768;2025-01-09 15:48:03;Email;Ticket taking too long;1
312;1776;2025-01-10 16:59:48;Email;Urgency increased by user;1
313;1776;2025-01-11 13:02:48;Email;Issue not solved;2
314;1777;2025-01-12 06:46:43;Email;Service still unavailable;1
315;1777;2025-01-13 17:54:43;Email;Urgency increased by user;2
316;1797;2025-01-11 05:33:43;Email;Urgency increased by user;1
317;1815;2025-01-10 18:34:36;Phone;No update provided;1
318;1815;2025-01-11 22:22:36;Email;Service still unavailable;2
319;1815;2025-01-12 04:18:36;Email;Urgency increased by user;3
320;1843;2025-01-13 14:05:31;Email;Service still unavailable;1
321;1843;2025-01-12 12:32:31;Email;Ticket taking too long;2
322;1847;2025-01-12 13:29:54;Portal;Ticket taking too long;1
323;1849;2025-01-11 14:51:54;Email;Urgency increased by user;1
324;1854;2025-01-10 22:48:43;Portal;Issue not solved;1
325;1854;2025-01-10 14:23:43;Email;Urgency increased by user;2
326;1861;2025-01-10 14:28:43;Email;Urgency increased by user;1
327;1862;2025-01-11 03:50:37;Portal;Issue not solved;1
328;1865;2025-01-11 15:49:34;Phone;No update provided;1
329;1872;2025-01-10 15:08:23;Portal;Service still unavailable;1
330;1872;2025-01-11 08:53:23;Phone;No update provided;2
331;1875;2025-01-10 20:40:23;Phone;Issue not solved;1
332;1875;2025-01-10 22:12:23;Email;Urgency increased by user;2
333;1875;2025-01-11 02:25:23;Portal;Issue not solved;3
334;1875;2025-01-10 16:11:23;Phone;Issue not solved;4
335;1888;2025-01-12 20:09:00;Portal;No update provided;1
336;1895;2025-01-10 13:49:57;Portal;No update provided;1
337;1895;2025-01-10 12:52:57;Portal;Issue not solved;2
338;1901;2025-01-12 02:09:22;Phone;Service still unavailable;1
339;1901;2025-01-13 16:30:22;Portal;Ticket taking too long;2
340;1901;2025-01-14 02:50:22;Phone;Ticket taking too long;3
341;1901;2025-01-13 02:51:22;Portal;Issue not solved;4
342;1903;2025-01-11 09:37:36;Portal;Issue not solved;1
343;1903;2025-01-11 09:01:36;Email;Service still unavailable;2
344;1903;2025-01-12 08:21:36;Phone;Service still unavailable;3
345;1914;2025-01-13 00:49:31;Email;Service still unavailable;1
346;1916;2025-01-11 12:36:34;Phone;No update provided;1
347;1916;2025-01-10 19:59:34;Phone;Urgency increased by user;2
348;1923;2025-01-10 15:28:10;Email;Service still unavailable;1
349;1923;2025-01-10 16:08:10;Email;Service still unavailable;2
350;1943;2025-01-10 15:04:42;Phone;Ticket taking too long;1
351;1956;2025-01-12 16:58:40;Portal;Issue not solved;1
352;1959;2025-01-12 07:54:22;Phone;Service still unavailable;1
353;1967;2025-01-12 16:49:53;Portal;Urgency increased by user;1
354;1969;2025-01-11 03:28:34;Email;Urgency increased by user;1
355;1971;2025-01-11 14:23:02;Portal;Service still unavailable;1
356;1984;2025-01-11 05:52:48;Email;Ticket taking too long;1
357;1992;2025-01-13 10:35:58;Phone;Issue not solved;1
358;2020;2025-01-11 22:57:58;Email;Ticket taking too long;1
359;2025;2025-01-14 20:24:13;Phone;Ticket taking too long;1
360;2032;2025-01-14 15:41:22;Email;Issue not solved;1
361;2032;2025-01-12 08:07:22;Phone;Ticket taking too long;2
362;2047;2025-01-11 23:25:51;Email;No update provided;1
363;2079;2025-01-11 21:00:26;Phone;Issue not solved;1
364;2096;2025-01-11 15:33:59;Portal;Urgency increased by user;1
365;2103;2025-01-11 09:40:52;Email;Service still unavailable;1
366;2106;2025-01-12 15:39:46;Portal;Issue not solved;1
367;2106;2025-01-12 16:32:46;Email;Urgency increased by user;2
368;2109;2025-01-12 03:29:16;Email;No update provided;1
369;2109;2025-01-12 04:34:16;Email;Issue not solved;2
370;2113;2025-01-12 11:55:47;Portal;Service still unavailable;1
371;2113;2025-01-13 02:01:47;Portal;Service still unavailable;2
372;2113;2025-01-12 21:22:47;Email;Issue not solved;3
373;2116;2025-01-12 03:20:30;Phone;Issue not solved;1
374;2116;2025-01-12 09:27:30;Phone;Urgency increased by user;2
375;2127;2025-01-13 06:10:24;Phone;Urgency increased by user;1
376;2129;2025-01-12 05:57:04;Phone;No update provided;1
377;2148;2025-01-12 15:04:11;Email;Service still unavailable;1
378;2148;2025-01-12 11:10:11;Portal;Service still unavailable;2
379;2172;2025-01-13 04:41:01;Email;No update provided;1
380;2176;2025-01-14 10:18:45;Email;Urgency increased by user;1
381;2178;2025-01-13 14:39:11;Phone;Urgency increased by user;1
382;2184;2025-01-13 07:13:14;Phone;No update provided;1
383;2187;2025-01-13 11:21:34;Phone;Urgency increased by user;1
384;2195;2025-01-14 20:42:56;Phone;Urgency increased by user;1
385;2196;2025-01-13 02:06:59;Email;Issue not solved;1
386;2197;2025-01-12 16:58:32;Portal;Service still unavailable;1
387;2197;2025-01-13 12:25:32;Email;Service still unavailable;2
388;2205;2025-01-12 16:12:42;Email;Ticket taking too long;1
389;2225;2025-01-12 13:43:35;Portal;Ticket taking too long;1
390;2242;2025-01-13 16:33:10;Portal;Ticket taking too long;1
391;2244;2025-01-12 16:30:18;Phone;Urgency increased by user;1
392;2251;2025-01-13 14:39:58;Phone;Issue not solved;1
393;2251;2025-01-12 19:26:58;Phone;No update provided;2
394;2253;2025-01-13 03:39:52;Phone;Urgency increased by user;1
395;2253;2025-01-13 07:35:52;Phone;Urgency increased by user;2
396;2281;2025-01-15 20:33:46;Portal;Ticket taking too long;1
397;2292;2025-01-13 01:13:35;Phone;Urgency increased by user;1
398;2293;2025-01-12 18:46:15;Email;Urgency increased by user;1
399;2295;2025-01-14 20:34:44;Email;Urgency increased by user;1
400;2295;2025-01-14 10:13:44;Email;Service still unavailable;2
401;2302;2025-01-13 20:12:33;Phone;Service still unavailable;1
402;2305;2025-01-13 03:20:35;Phone;No update provided;1
403;2305;2025-01-12 12:56:35;Email;Ticket taking too long;2
404;2306;2025-01-12 20:16:43;Portal;Issue not solved;1
405;2318;2025-01-13 14:03:22;Phone;Service still unavailable;1
406;2318;2025-01-12 22:05:22;Email;Service still unavailable;2
407;2324;2025-01-13 06:21:27;Email;Urgency increased by user;1
408;2332;2025-01-12 20:09:40;Phone;Issue not solved;1
409;2337;2025-01-13 18:32:15;Portal;No update provided;1
410;2340;2025-01-14 10:01:07;Portal;Urgency increased by user;1
411;2340;2025-01-13 13:14:07;Email;Urgency increased by user;2
412;2342;2025-01-12 22:19:17;Email;Issue not solved;1
413;2342;2025-01-12 18:24:17;Email;Urgency increased by user;2
414;2368;2025-01-14 06:41:37;Portal;Service still unavailable;1
415;2402;2025-01-14 17:50:47;Email;No update provided;1
416;2406;2025-01-15 23:33:22;Portal;Issue not solved;1
417;2406;2025-01-15 14:39:22;Email;No update provided;2
418;2406;2025-01-15 18:35:22;Email;No update provided;3
419;2428;2025-01-14 19:32:32;Email;Urgency increased by user;1
420;2430;2025-01-15 22:24:15;Email;Issue not solved;1
421;2430;2025-01-16 09:21:15;Phone;Ticket taking too long;2
422;2435;2025-01-14 06:16:55;Email;No update provided;1
423;2450;2025-01-13 20:29:15;Email;Urgency increased by user;1
424;2451;2025-01-14 06:05:38;Portal;No update provided;1
425;2468;2025-01-13 17:57:29;Email;No update provided;1
426;2501;2025-01-14 02:00:12;Phone;Ticket taking too long;1
427;2503;2025-01-15 07:53:07;Portal;Service still unavailable;1
428;2511;2025-01-13 18:08:26;Phone;Urgency increased by user;1
429;2514;2025-01-14 05:50:50;Portal;Ticket taking too long;1
430;2514;2025-01-13 18:22:50;Portal;No update provided;2
431;2514;2025-01-14 06:25:50;Phone;Service still unavailable;3
432;2526;2025-01-15 14:31:07;Email;Service still unavailable;1
433;2526;2025-01-15 09:18:07;Email;Issue not solved;2
434;2532;2025-01-14 06:12:47;Portal;Service still unavailable;1
435;2532;2025-01-14 03:05:47;Phone;Issue not solved;2
436;2537;2025-01-13 12:35:05;Portal;No update provided;1
437;2537;2025-01-13 19:03:05;Email;Ticket taking too long;2
438;2537;2025-01-13 10:48:05;Email;Service still unavailable;3
439;2538;2025-01-14 17:59:14;Portal;Service still unavailable;1
440;2552;2025-01-14 20:30:26;Phone;Ticket taking too long;1
441;2553;2025-01-13 17:55:26;Email;No update provided;1
442;2553;2025-01-14 18:11:26;Email;No update provided;2
443;2572;2025-01-14 18:47:17;Phone;Ticket taking too long;1
444;2578;2025-01-13 19:27:49;Phone;No update provided;1
445;2578;2025-01-14 09:00:49;Email;No update provided;2
446;2596;2025-01-15 01:55:42;Phone;Ticket taking too long;1
447;2598;2025-01-15 00:43:57;Portal;Urgency increased by user;1
448;2610;2025-01-14 19:26:15;Email;Service still unavailable;1
449;2618;2025-01-15 04:03:52;Email;No update provided;1
450;2633;2025-01-14 15:55:03;Phone;Issue not solved;1
451;2633;2025-01-14 15:55:03;Phone;Ticket taking too long;2
