return_id;ticket_id;returned_from_group_id;returned_to_group_id;return_timestamp;return_reason;wrong_group_flag;missing_minimum_data_flag
44;772;4;1;2025-01-05 18:15:40;Wrong categorization;0;1
45;790;7;1;2025-01-05 11:13:46;Missing user impact / urgency;1;1
46;806;5;1;2025-01-05 20:59:14;Insufficient reproduction steps;0;0
47;809;4;1;2025-01-05 17:04:09;Already solved in N1;0;1
48;822;6;1;2025-01-05 13:59:56;Missing diagnostic evidence;0;0
49;827;5;1;2025-01-05 22:08:52;Already solved in N1;0;1
50;830;5;1;2025-01-05 11:44:41;Insufficient reproduction steps;0;1
51;831;3;1;2025-01-05 15:56:25;Missing diagnostic evidence;0;1
52;882;6;1;2025-01-05 17:29:19;Wrong support group;1;0
53;888;3;1;2025-01-05 17:42:42;Already solved in N1;0;0
54;930;2;1;2025-01-06 17:18:10;Already solved in N1;1;0
55;969;4;1;2025-01-06 20:17:09;Insufficient reproduction steps;1;0
56;981;5;1;2025-01-06 13:52:04;Wrong categorization;0;1
57;989;3;1;2025-01-06 12:33:44;Wrong categorization;0;1
58;1021;6;1;2025-01-06 12:48:39;Missing user impact / urgency;1;0
59;1036;5;1;2025-01-06 16:09:11;Wrong categorization;0;0
60;1058;5;1;2025-01-06 16:55:00;Missing diagnostic evidence;0;1
61;1061;7;1;2025-01-06 18:12:10;Wrong categorization;1;0
62;1097;4;1;2025-01-06 22:33:29;Wrong support group;1;0
63;1114;4;1;2025-01-06 18:28:01;Already solved in N1;0;1
64;1120;5;1;2025-01-06 09:38:30;Missing user impact / urgency;0;1
65;1138;3;1;2025-01-07 13:34:33;Already solved in N1;0;1
66;1145;5;1;2025-01-07 16:30:24;Missing user impact / urgency;0;0
67;1158;2;1;2025-01-07 11:50:22;Insufficient reproduction steps;0;1
68;1178;2;1;2025-01-07 13:41:48;Already solved in N1;0;1
69;1184;6;1;2025-01-07 16:44:33;Wrong categorization;1;0
70;1188;6;1;2025-01-07 16:17:55;Already solved in N1;0;1
71;1199;2;1;2025-01-07 13:25:23;Wrong categorization;0;1
72;1248;2;1;2025-01-07 20:53:34;Wrong categorization;0;1
73;1259;2;1;2025-01-07 14:16:25;Wrong categorization;1;0
74;1261;4;1;2025-01-07 12:55:35;Already solved in N1;0;1
75;1281;8;1;2025-01-07 14:37:37;Wrong support group;0;1
76;1289;2;1;2025-01-07 12:26:46;Insufficient reproduction steps;1;0
77;1308;2;1;2025-01-07 12:57:16;Missing user impact / urgency;1;0
78;1324;5;1;2025-01-07 15:27:11;Missing diagnostic evidence;0;1
79;1341;5;1;2025-01-07 16:06:41;Wrong support group;1;0
80;1357;7;1;2025-01-08 15:52:35;Wrong support group;0;1
81;1365;2;1;2025-01-08 16:04:35;Insufficient reproduction steps;0;1
82;1369;2;1;2025-01-08 14:27:20;Wrong categorization;0;1
83;1372;4;1;2025-01-08 10:31:51;Missing user impact / urgency;0;1
84;1385;5;1;2025-01-08 14:44:44;Insufficient reproduction steps;0;1
85;1394;3;1;2025-01-08 15:26:41;Missing user impact / urgency;0;1
86;1395;3;1;2025-01-08 16:58:16;Missing diagnostic evidence;1;0
87;1397;3;1;2025-01-08 14:15:12;Already solved in N1;0;1
88;1413;2;1;2025-01-08 18:23:51;Missing diagnostic evidence;1;0
89;1456;8;1;2025-01-08 17:26:27;Wrong support group;1;0
90;1471;3;1;2025-01-08 19:28:18;Missing user impact / urgency;0;1
91;1485;4;1;2025-01-08 14:37:47;Missing user impact / urgency;0;1
92;1492;2;1;2025-01-08 19:21:36;Insufficient reproduction steps;1;0
93;1511;5;1;2025-01-08 14:38:21;Missing diagnostic evidence;1;0
94;1530;6;1;2025-01-08 19:43:35;Wrong categorization;1;0
95;1568;2;1;2025-01-08 18:21:32;Missing diagnostic evidence;0;0
96;1592;6;1;2025-01-09 11:05:45;Missing user impact / urgency;1;0
97;1598;5;1;2025-01-09 23:41:36;Already solved in N1;1;0
98;1600;8;1;2025-01-09 21:08:36;Missing user impact / urgency;1;0
99;1612;6;1;2025-01-09 09:51:01;Wrong support group;1;0
100;1615;2;1;2025-01-09 15:11:11;Already solved in N1;1;0
101;1637;3;1;2025-01-09 13:56:39;Wrong support group;0;1
102;1650;6;1;2025-01-09 15:07:21;Insufficient reproduction steps;1;0
103;1658;2;1;2025-01-09 17:14:18;Already solved in N1;0;1
104;1688;6;1;2025-01-09 16:52:28;Missing diagnostic evidence;1;0
105;1716;4;1;2025-01-09 19:29:57;Missing user impact / urgency;1;0
106;1719;5;1;2025-01-09 17:17:18;Already solved in N1;0;1
107;1728;5;1;2025-01-09 18:51:37;Wrong support group;0;1
108;1729;8;1;2025-01-09 14:46:07;Already solved in N1;1;1
109;1731;5;1;2025-01-09 19:55:20;Wrong categorization;0;1
110;1736;2;1;2025-01-09 20:16:35;Wrong categorization;0;1
111;1752;5;1;2025-01-10 00:32:01;Missing diagnostic evidence;0;1
112;1776;8;1;2025-01-10 15:03:30;Wrong support group;1;0
113;1781;5;1;2025-01-10 19:20:43;Missing diagnostic evidence;0;0
114;1814;2;1;2025-01-10 16:22:57;Missing user impact / urgency;1;0
115;1836;4;1;2025-01-10 16:25:35;Already solved in N1;0;1
116;1865;5;1;2025-01-10 16:59:25;Missing user impact / urgency;0;1
117;1905;7;1;2025-01-10 12:42:20;Missing diagnostic evidence;0;0
118;2009;7;1;2025-01-11 13:27:40;Already solved in N1;1;0
119;2026;4;1;2025-01-12 09:20:27;Already solved in N1;0;1
120;2037;7;1;2025-01-11 19:07:41;Insufficient reproduction steps;1;0
121;2041;8;1;2025-01-11 09:38:14;Wrong support group;1;0
122;2073;2;1;2025-01-11 17:41:40;Already solved in N1;0;1
123;2076;3;1;2025-01-11 13:05:23;Already solved in N1;0;1
124;2080;4;1;2025-01-11 21:03:08;Wrong support group;0;1
125;2100;2;1;2025-01-11 14:49:58;Already solved in N1;0;1
126;2101;4;1;2025-01-11 13:21:31;Missing user impact / urgency;0;1
127;2113;8;1;2025-01-11 22:02:44;Wrong support group;0;0
128;2117;2;1;2025-01-11 12:07:48;Wrong support group;0;0
129;2120;7;1;2025-01-11 20:59:00;Wrong categorization;1;0
130;2139;8;1;2025-01-11 15:39:13;Wrong categorization;1;0
131;2145;8;1;2025-01-11 19:09:53;Missing diagnostic evidence;0;1
132;2147;7;1;2025-01-11 16:59:31;Insufficient reproduction steps;1;1
133;2158;3;1;2025-01-11 13:27:43;Wrong categorization;0;1
134;2167;8;1;2025-01-11 09:29:44;Wrong support group;1;1
135;2171;2;1;2025-01-12 21:20:44;Already solved in N1;0;1
136;2174;7;1;2025-01-12 20:09:28;Wrong support group;1;1
137;2181;5;1;2025-01-12 11:42:04;Wrong support group;0;1
138;2187;2;1;2025-01-12 12:17:40;Missing user impact / urgency;0;0
139;2188;5;1;2025-01-12 22:29:06;Wrong support group;0;1
140;2191;7;1;2025-01-12 12:50:28;Already solved in N1;0;1
141;2217;5;1;2025-01-12 15:10:13;Missing diagnostic evidence;1;1
142;2253;2;1;2025-01-12 20:19:08;Wrong categorization;0;1
143;2264;5;1;2025-01-12 21:08:20;Wrong support group;0;1
144;2277;4;1;2025-01-12 16:19:44;Wrong categorization;1;0
145;2282;8;1;2025-01-12 23:06:12;Wrong support group;1;0
146;2283;4;1;2025-01-12 08:57:59;Wrong categorization;0;0
147;2305;2;1;2025-01-12 15:17:22;Already solved in N1;0;1
148;2315;5;1;2025-01-12 13:41:12;Wrong support group;0;1
149;2326;4;1;2025-01-12 13:21:36;Missing user impact / urgency;0;1
150;2342;7;1;2025-01-12 12:45:15;Missing user impact / urgency;1;0
151;2346;4;1;2025-01-12 22:02:18;Wrong support group;0;1
152;2387;2;1;2025-01-13 17:29:47;Insufficient reproduction steps;0;0
153;2391;2;1;2025-01-13 23:48:41;Wrong support group;0;1
154;2400;3;1;2025-01-13 13:31:52;Insufficient reproduction steps;1;0
155;2403;2;1;2025-01-13 14:31:58;Wrong categorization;1;0
156;2417;8;1;2025-01-13 19:47:26;Missing user impact / urgency;0;1
157;2418;7;1;2025-01-13 20:03:47;Insufficient reproduction steps;1;0
158;2434;5;1;2025-01-13 17:58:49;Wrong categorization;0;0
159;2477;5;1;2025-01-13 12:35:15;Insufficient reproduction steps;0;1
160;2478;4;1;2025-01-13 15:17:37;Wrong support group;0;0
161;2479;2;1;2025-01-13 10:57:27;Missing user impact / urgency;0;1
162;2493;6;1;2025-01-13 17:23:26;Insufficient reproduction steps;1;0
163;2499;2;1;2025-01-13 14:28:22;Wrong support group;0;1
164;2503;8;1;2025-01-13 16:07:02;Wrong categorization;1;0
165;2528;3;1;2025-01-13 09:46:57;Wrong support group;0;1
166;2533;6;1;2025-01-13 17:32:13;Wrong support group;1;0
167;2543;2;1;2025-01-13 21:05:25;Missing user impact / urgency;0;1
168;2545;3;1;2025-01-13 14:36:03;Wrong categorization;1;0
169;2557;2;1;2025-01-13 15:56:51;Missing user impact / urgency;0;1
170;2608;4;1;2025-01-14 21:54:58;Missing user impact / urgency;0;1
171;2633;2;1;2025-01-14 19:06:55;Missing user impact / urgency;1;1
172;2692;4;1;2025-01-14 18:44:17;Wrong categorization;0;0
173;2694;5;1;2025-01-14 12:20:01;Wrong categorization;0;1
174;2707;5;1;2025-01-14 10:18:16;Wrong categorization;0;1
175;2711;5;1;2025-01-14 18:24:05;Already solved in N1;1;1
176;2766;5;1;2025-01-14 16:02:03;Missing diagnostic evidence;1;0
177;2780;6;1;2025-01-14 13:54:39;Missing user impact / urgency;1;0
178;2793;2;1;2025-01-15 15:00:26;Missing diagnostic evidence;0;1
179;2801;3;1;2025-01-15 15:39:33;Wrong support group;1;0
180;2847;2;1;2025-01-15 15:24:38;Missing user impact / urgency;0;1
181;2909;2;1;2025-01-15 18:20:12;Insufficient reproduction steps;0;0
182;2942;5;1;2025-01-15 17:39:37;Insufficient reproduction steps;0;1
183;2956;4;1;2025-01-15 08:38:34;Wrong categorization;1;0
184;2988;3;1;2025-01-15 18:25:45;Wrong support group;1;0
185;3025;3;1;2025-01-16 10:05:18;Missing user impact / urgency;1;0
186;3029;8;1;2025-01-16 21:45:59;Insufficient reproduction steps;1;0
187;3044;5;1;2025-01-16 17:20:30;Missing user impact / urgency;0;1
188;3047;4;1;2025-01-16 11:39:28;Missing user impact / urgency;1;1
189;3061;2;1;2025-01-16 11:11:33;Missing diagnostic evidence;0;1
190;3064;4;1;2025-01-16 20:21:45;Missing user impact / urgency;0;1
191;3096;2;1;2025-01-16 19:54:32;Wrong categorization;1;1
192;3105;7;1;2025-01-16 14:02:29;Wrong support group;0;1
193;3118;8;1;2025-01-16 21:43:31;Missing user impact / urgency;1;0
194;3119;3;1;2025-01-16 19:02:04;Wrong categorization;0;1
195;3124;3;1;2025-01-16 11:37:31;Wrong support group;1;0
196;3149;4;1;2025-01-16 15:37:01;Missing diagnostic evidence;1;1
197;3169;5;1;2025-01-16 19:35:48;Already solved in N1;0;1
198;3172;2;1;2025-01-16 21:41:04;Wrong support group;1;0
199;3208;2;1;2025-01-16 15:58:52;Wrong categorization;1;0
200;3221;5;1;2025-01-16 13:16:44;Missing diagnostic evidence;0;1
201;3242;2;1;2025-01-18 01:44:43;Missing diagnostic evidence;1;0
202;3245;2;1;2025-01-17 15:33:34;Wrong support group;0;1
203;3249;5;1;2025-01-17 16:42:05;Wrong categorization;1;1
204;3255;4;1;2025-01-17 20:21:02;Already solved in N1;0;1
205;3282;2;1;2025-01-17 21:11:41;Wrong categorization;0;1
206;3283;3;1;2025-01-17 12:50:09;Wrong categorization;1;0
207;3292;6;1;2025-01-17 17:22:16;Already solved in N1;1;0
208;3307;4;1;2025-01-17 15:02:49;Missing diagnostic evidence;1;0
209;3321;2;1;2025-01-17 19:40:46;Already solved in N1;0;1
210;3324;2;1;2025-01-17 21:40:12;Already solved in N1;0;0
211;3341;8;1;2025-01-17 14:48:52;Wrong categorization;1;0
212;3352;4;1;2025-01-17 20:20:07;Wrong support group;1;1
213;3363;4;1;2025-01-17 16:43:55;Already solved in N1;1;0
214;3378;2;1;2025-01-17 15:14:24;Already solved in N1;0;1
215;3424;5;1;2025-01-18 17:14:52;Insufficient reproduction steps;0;1
216;3505;5;1;2025-01-18 14:03:48;Insufficient reproduction steps;0;1
217;3525;2;1;2025-01-18 13:58:31;Already solved in N1;0;1
218;3535;4;1;2025-01-18 16:23:22;Wrong categorization;0;1
219;3567;3;1;2025-01-18 17:07:14;Missing user impact / urgency;0;1
220;3574;6;1;2025-01-18 15:50:54;Insufficient reproduction steps;1;0
221;3580;2;1;2025-01-18 14:32:14;Missing user impact / urgency;0;1
222;3588;4;1;2025-01-18 17:11:08;Insufficient reproduction steps;0;1
223;3591;2;1;2025-01-18 16:08:47;Missing user impact / urgency;0;1
224;3602;2;1;2025-01-18 18:50:57;Insufficient reproduction steps;1;0
225;3615;6;1;2025-01-18 17:52:29;Missing user impact / urgency;1;0
226;3621;2;1;2025-01-18 14:54:17;Insufficient reproduction steps;0;1
227;3632;2;1;2025-01-19 12:47:12;Missing diagnostic evidence;0;1
228;3643;2;1;2025-01-19 17:36:08;Already solved in N1;0;1
229;3654;3;1;2025-01-19 16:19:56;Already solved in N1;0;1
230;3661;2;1;2025-01-19 13:54:14;Missing user impact / urgency;0;1
231;3662;4;1;2025-01-19 13:03:48;Insufficient reproduction steps;1;1
232;3678;4;1;2025-01-19 07:54:06;Missing user impact / urgency;0;1
233;3690;8;1;2025-01-19 20:11:28;Missing user impact / urgency;1;0
234;3715;3;1;2025-01-19 16:46:34;Insufficient reproduction steps;1;0
235;3754;5;1;2025-01-19 16:04:10;Missing user impact / urgency;0;1
236;3765;2;1;2025-01-19 12:38:31;Missing diagnostic evidence;1;0
237;3768;3;1;2025-01-19 11:58:27;Already solved in N1;1;0
238;3775;3;1;2025-01-19 17:47:17;Wrong support group;1;0
239;3783;6;1;2025-01-20 16:44:32;Wrong support group;0;1
240;3792;4;1;2025-01-20 19:56:08;Insufficient reproduction steps;0;1
241;3794;2;1;2025-01-21 00:04:02;Insufficient reproduction steps;0;1
242;3807;5;1;2025-01-20 12:44:57;Missing user impact / urgency;0;1
243;3847;5;1;2025-01-20 20:01:37;Wrong support group;0;1
244;3859;7;1;2025-01-20 13:01:59;Insufficient reproduction steps;1;0
245;3864;2;1;2025-01-20 15:32:51;Wrong support group;0;1
246;3877;2;1;2025-01-20 13:16:31;Insufficient reproduction steps;0;1
247;3895;4;1;2025-01-20 14:38:40;Missing diagnostic evidence;0;1
248;3904;7;1;2025-01-20 11:12:55;Wrong categorization;1;0
249;3926;5;1;2025-01-20 23:01:19;Wrong categorization;0;1
250;3927;7;1;2025-01-20 13:22:58;Missing diagnostic evidence;1;0
251;3938;5;1;2025-01-20 17:35:11;Wrong support group;1;0
252;3951;5;1;2025-01-20 18:52:59;Wrong categorization;0;1
253;4001;5;1;2025-01-20 23:08:35;Wrong support group;1;0
254;4020;7;1;2025-01-21 17:42:01;Missing user impact / urgency;1;1
255;4021;5;1;2025-01-21 15:16:17;Missing user impact / urgency;0;1
256;4051;4;1;2025-01-21 19:50:07;Insufficient reproduction steps;0;1
257;4076;5;1;2025-01-21 22:13:26;Missing diagnostic evidence;0;1
258;4086;6;1;2025-01-21 16:58:52;Already solved in N1;1;0
259;4090;2;1;2025-01-21 18:54:13;Insufficient reproduction steps;1;0
260;4092;2;1;2025-01-21 13:16:12;Missing user impact / urgency;0;1
261;4114;8;1;2025-01-21 14:45:34;Wrong support group;1;0
262;4125;4;1;2025-01-21 13:07:46;Missing diagnostic evidence;0;0
263;4149;6;1;2025-01-21 14:32:33;Missing diagnostic evidence;1;0
264;4150;2;1;2025-01-21 16:28:21;Wrong support group;0;1
265;4151;7;1;2025-01-21 09:38:29;Missing user impact / urgency;1;1
266;4158;4;1;2025-01-21 11:28:55;Insufficient reproduction steps;0;0
267;4164;2;1;2025-01-21 12:57:16;Missing diagnostic evidence;0;1
268;4183;6;1;2025-01-22 17:37:39;Already solved in N1;1;0
269;4185;7;1;2025-01-22 19:26:50;Missing diagnostic evidence;0;1
270;4205;6;1;2025-01-22 11:31:53;Missing diagnostic evidence;0;1
271;4230;2;1;2025-01-22 17:21:13;Wrong categorization;1;0
272;4233;6;1;2025-01-22 15:45:10;Insufficient reproduction steps;1;1
273;4239;5;1;2025-01-22 15:19:31;Missing user impact / urgency;1;0
274;4243;6;1;2025-01-22 19:36:05;Insufficient reproduction steps;1;1
275;4273;8;1;2025-01-22 21:51:04;Already solved in N1;0;0
276;4279;5;1;2025-01-22 14:15:02;Missing diagnostic evidence;0;1
277;4307;5;1;2025-01-22 14:45:34;Wrong categorization;0;1
278;4313;4;1;2025-01-22 13:45:25;Missing diagnostic evidence;0;1
279;4350;5;1;2025-01-22 11:55:34;Missing diagnostic evidence;0;1
280;4353;4;1;2025-01-22 21:07:26;Insufficient reproduction steps;0;1
281;4370;2;1;2025-01-22 15:23:11;Wrong categorization;0;0
282;4414;7;1;2025-01-23 16:41:45;Already solved in N1;1;0
283;4465;5;1;2025-01-23 18:17:21;Missing user impact / urgency;0;1
284;4488;8;1;2025-01-23 18:14:06;Wrong support group;1;0
285;4501;2;1;2025-01-23 14:02:36;Missing user impact / urgency;0;1
286;4505;8;1;2025-01-23 13:54:37;Wrong support group;1;0
287;4524;3;1;2025-01-23 11:20:49;Wrong support group;0;1
288;4541;4;1;2025-01-23 15:01:59;Wrong categorization;0;1
289;4554;4;1;2025-01-23 21:47:43;Missing user impact / urgency;1;0
290;4563;6;1;2025-01-23 15:30:33;Wrong support group;0;1
291;4576;6;1;2025-01-24 13:41:43;Wrong categorization;1;0
292;4580;2;1;2025-01-24 11:12:11;Missing diagnostic evidence;0;1
293;4590;4;1;2025-01-24 14:19:10;Wrong support group;1;0
294;4595;8;1;2025-01-24 17:52:06;Insufficient reproduction steps;1;0
295;4598;7;1;2025-01-24 16:32:32;Missing user impact / urgency;1;0
296;4612;7;1;2025-01-24 15:08:22;Wrong support group;1;0
297;4621;4;1;2025-01-24 11:21:10;Wrong support group;0;0
298;4624;6;1;2025-01-24 19:08:54;Wrong categorization;0;1
299;4626;4;1;2025-01-24 11:59:04;Wrong categorization;0;1
300;4635;6;1;2025-01-24 13:51:34;Wrong categorization;0;1
301;4642;6;1;2025-01-25 10:26:13;Insufficient reproduction steps;1;0
302;4659;5;1;2025-01-24 17:11:49;Insufficient reproduction steps;0;1
303;4666;5;1;2025-01-24 15:00:12;Missing diagnostic evidence;0;1
304;4700;2;1;2025-01-24 23:13:31;Missing user impact / urgency;0;1
305;4718;4;1;2025-01-24 18:13:58;Missing user impact / urgency;0;1
306;4733;5;1;2025-01-24 13:42:41;Wrong categorization;0;1
307;4734;5;1;2025-01-24 20:53:45;Insufficient reproduction steps;0;1
308;4749;2;1;2025-01-24 20:36:08;Missing diagnostic evidence;0;1
309;4798;5;1;2025-01-25 16:41:15;Wrong support group;0;1
310;4828;6;1;2025-01-25 13:43:52;Missing user impact / urgency;1;0
311;4836;4;1;2025-01-25 16:44:27;Missing user impact / urgency;0;1
312;4837;3;1;2025-01-25 15:18:32;Wrong support group;0;1
313;4860;3;1;2025-01-25 16:20:37;Insufficient reproduction steps;1;0
314;4861;4;1;2025-01-25 13:41:18;Already solved in N1;0;1
315;4880;4;1;2025-01-25 23:31:55;Already solved in N1;0;1
316;4895;6;1;2025-01-25 15:54:42;Insufficient reproduction steps;1;0
317;4906;2;1;2025-01-25 15:29:36;Missing user impact / urgency;1;0
318;4914;7;1;2025-01-25 14:17:43;Wrong categorization;1;1
319;4971;5;1;2025-01-26 18:29:57;Missing diagnostic evidence;1;0
320;4979;3;1;2025-01-26 16:50:57;Wrong support group;0;1
321;5004;3;1;2025-01-26 17:40:57;Missing user impact / urgency;1;0
322;5008;5;1;2025-01-26 12:02:14;Missing user impact / urgency;0;1
323;5022;4;1;2025-01-26 20:54:03;Wrong categorization;1;1
324;5030;6;1;2025-01-26 18:09:07;Missing user impact / urgency;1;0
325;5039;5;1;2025-01-26 15:23:55;Missing user impact / urgency;0;0
326;5046;5;1;2025-01-26 13:16:39;Wrong support group;0;1
327;5053;2;1;2025-01-26 13:25:09;Insufficient reproduction steps;0;1
328;5054;3;1;2025-01-26 13:22:00;Missing diagnostic evidence;0;0
329;5085;3;1;2025-01-26 14:38:37;Wrong support group;1;0
330;5088;5;1;2025-01-26 16:24:03;Wrong categorization;0;1
331;5107;4;1;2025-01-26 20:41:30;Already solved in N1;1;0
332;5124;2;1;2025-01-27 14:10:07;Insufficient reproduction steps;0;1
333;5152;4;1;2025-01-27 12:09:58;Already solved in N1;0;1
334;5181;5;1;2025-01-27 16:00:47;Missing user impact / urgency;0;1
335;5208;7;1;2025-01-27 08:30:09;Insufficient reproduction steps;1;1
336;5271;4;1;2025-01-27 11:56:07;Already solved in N1;1;0
337;5285;4;1;2025-01-27 17:16:54;Already solved in N1;1;0
338;5301;5;1;2025-01-27 16:08:27;Already solved in N1;0;1
339;5322;8;1;2025-01-27 16:24:45;Missing diagnostic evidence;0;1
340;5330;5;1;2025-01-27 12:16:19;Already solved in N1;0;1
341;5338;5;1;2025-01-27 18:55:56;Missing user impact / urgency;0;0
342;5346;6;1;2025-01-27 19:11:27;Missing diagnostic evidence;1;0
343;5365;5;1;2025-01-28 20:46:26;Insufficient reproduction steps;0;1
344;5379;5;1;2025-01-28 20:22:36;Missing diagnostic evidence;0;1
345;5447;6;1;2025-01-28 19:07:42;Missing diagnostic evidence;0;1
346;5485;3;1;2025-01-28 22:24:52;Already solved in N1;0;1
347;5488;2;1;2025-01-28 15:45:55;Insufficient reproduction steps;0;1
348;5490;3;1;2025-01-28 15:43:43;Insufficient reproduction steps;1;0
349;5493;5;1;2025-01-28 19:50:42;Missing user impact / urgency;1;0
350;5497;5;1;2025-01-28 12:17:13;Already solved in N1;0;1
351;5511;2;1;2025-01-28 12:40:40;Wrong categorization;0;1
352;5541;4;1;2025-01-28 20:34:07;Missing diagnostic evidence;0;1
353;5554;7;1;2025-01-29 14:14:33;Insufficient reproduction steps;1;0
354;5563;5;1;2025-01-29 19:30:42;Wrong support group;0;0
355;5566;4;1;2025-01-29 14:12:27;Already solved in N1;1;0
356;5568;4;1;2025-01-29 15:58:35;Missing user impact / urgency;1;0
357;5582;5;1;2025-01-29 17:58:03;Missing user impact / urgency;0;1
358;5606;4;1;2025-01-29 16:23:11;Wrong support group;0;0
359;5666;3;1;2025-01-29 21:02:58;Missing diagnostic evidence;1;0
360;5676;4;1;2025-01-29 18:33:43;Missing diagnostic evidence;0;0
361;5681;2;1;2025-01-29 14:15:35;Missing diagnostic evidence;0;1
362;5687;2;1;2025-01-29 15:35:13;Already solved in N1;1;0
363;5718;6;1;2025-01-29 13:47:44;Already solved in N1;1;0
364;5722;5;1;2025-01-29 19:21:22;Wrong categorization;1;0
365;5762;3;1;2025-01-30 14:51:39;Missing diagnostic evidence;0;1
366;5780;6;1;2025-01-30 12:31:37;Missing user impact / urgency;1;0
367;5806;2;1;2025-01-30 11:02:47;Missing user impact / urgency;0;1
368;5845;2;1;2025-01-30 13:46:40;Wrong support group;0;1
369;5846;6;1;2025-01-30 16:46:20;Missing user impact / urgency;1;0
370;5880;4;1;2025-01-30 11:59:20;Missing diagnostic evidence;0;0
371;5891;8;1;2025-01-30 17:56:25;Wrong support group;1;0
372;5899;8;1;2025-01-30 15:21:59;Missing user impact / urgency;1;1
373;5911;2;1;2025-01-30 19:04:36;Missing diagnostic evidence;0;1
374;5987;2;1;2025-01-31 15:56:45;Wrong support group;0;1
375;5994;3;1;2025-01-31 17:32:52;Already solved in N1;0;1
376;6026;8;1;2025-01-31 18:16:24;Wrong support group;1;0
377;6081;2;1;2025-01-31 17:31:32;Missing user impact / urgency;1;1
378;6102;5;1;2025-01-31 16:13:08;Wrong support group;0;1
379;6103;3;1;2025-01-31 14:49:14;Wrong support group;0;1
380;6105;8;1;2025-02-01 22:53:07;Insufficient reproduction steps;0;1
381;6114;8;1;2025-02-01 14:13:26;Wrong support group;1;0
382;6132;8;1;2025-02-01 11:51:22;Insufficient reproduction steps;0;1
383;6135;8;1;2025-02-01 18:33:30;Wrong categorization;1;0
384;6136;8;1;2025-02-01 14:35:23;Already solved in N1;0;0
385;6151;2;1;2025-02-01 16:40:07;Insufficient reproduction steps;0;1
386;6159;8;1;2025-02-01 17:09:18;Wrong categorization;1;0
387;6185;3;1;2025-02-01 19:15:40;Wrong support group;1;0
388;6190;5;1;2025-02-01 14:56:57;Already solved in N1;0;1
389;6195;3;1;2025-02-01 18:26:43;Already solved in N1;0;1
390;6204;5;1;2025-02-01 20:12:36;Wrong categorization;0;0
391;6205;4;1;2025-02-01 14:48:47;Wrong support group;0;1
